titulo,enlace
Spain plans 100% house tax on foreigners: Will it fix the housing crisis?,https://www.aljazeera.com/news/2025/1/25/spain-plans-100-house-tax-on-foreigners-will-it-fix-the-housing-crisis
Between bombs and books: The lasting impact of war on Lebanese students,https://www.aljazeera.com/features/2025/1/25/between-bombs-and-books-the-lasting-impact-of-war-on-lebanese-students
"Trump decree paves way for ‘Muslim ban’, targeting pro-Palestine students",https://www.aljazeera.com/news/2025/1/24/trump-decree-paves-way-for-muslim-ban-targeting-pro-palestine-students
Who are the female Israeli soldiers released by Hamas?,https://www.aljazeera.com/news/2025/1/24/who-are-the-female-israeli-soldiers-being-released-by-hamas
‘Less than slaves’: The Palestinians detained by Israel despite ceasefire,https://www.aljazeera.com/features/2025/1/24/less-than-slaves-the-palestinians-detained-by-israel-despite-ceasefire
